Fips,Target
17129,0
48327,1
48327,0
17131,0
17131,1
21167,0
21167,1
29129,0
29129,1
38057,0
38057,1
34021,0
34021,1
39107,0
39107,1
42085,0
42085,1
54055,0
54055,1
17139,0
17141,0
17143,1
17147,1
17159,1
17159,0
30083,1
30083,0
38077,1
38077,0
39139,1
39139,0
45079,1
45079,0
55103,1
55103,0
17161,0
17167,0
17169,1
17169,0
29197,1
29197,0
36097,1
36097,0
17175,0
17175,1
38089,0
38089,1
39151,0
39151,1
17177,1
17179,1
51185,1
17183,1
17185,1
18169,1
17195,1
17197,1
17199,0
17199,1
47187,0
47187,1
48491,0
48491,1
17203,1
21239,1
18003,1
18003,0
20001,1
20001,0
21003,1
21003,0
39003,1
39003,0
18005,1
18009,0
18027,0
18027,1
21059,0
21059,1
29061,0
29061,1
18029,1
18037,1
18039,1
18045,0
18051,1
47053,1
18063,1
18069,1
18075,1
18079,0
18085,1
18103,0
18103,1
20121,0
20121,1
39109,0
39109,1
18113,0
18113,1
39121,0
39121,1
40103,0
40103,1
18115,1
18115,0
21183,1
21183,0
54069,1
54069,0
18119,1
21187,1
18121,0
18127,1
18129,0
18137,0
18137,1
29181,0
29181,1
18139,1
20165,1
18141,1
26149,1
18147,1
21215,1
18149,1
18151,1
36101,1
18153,0
18153,1
29211,0
29211,1
33019,0
33019,1
36105,0
36105,1
42113,0
42113,1
47163,0
47163,1
18155,0
18157,1
18159,1
18159,0
47167,1
47167,0
18163,1
18165,1
18167,1
18173,1
18179,0
18179,1
38103,0
38103,1
18183,1
21235,1
20003,1
20003,0
21005,1
21005,0
45007,1
45007,0
47001,1
47001,0
48001,1
48001,0
20005,1
20005,0
29005,1
29005,0
20007,1
20009,1
29011,1
20011,0
20011,1
21017,0
21017,1
20017,1
31029,1
20019,0
20019,1
36013,0
36013,1
20029,1
20031,1
20033,1
20033,0
40031,1
40031,0
48093,1
48093,0
20035,1
20043,0
20049,1
42047,1
20051,0
20051,1
40045,0
40045,1
48139,0
48139,1
20053,1
20055,1
20061,0
20063,0
20069,1
48179,1
20071,1
31077,1
20073,1
45047,1
20077,0
20077,1
40059,0
40059,1
20079,0
20081,0
40061,0
48207,0
20083,1
20095,0
20099,0
20101,0
41039,0
20103,1
20119,1
20119,0
21163,1
21163,0
46093,1
46093,0
20127,1
34027,1
48343,1
20129,0
20129,1
38059,0
38059,1
20131,1
31127,1
20133,1
20135,1
20137,0
20139,1
20139,0
29151,1
29151,0
40113,1
40113,0
20141,1
20143,1
20143,0
26139,1
26139,0
39123,1
39123,0
40115,1
40115,0
20145,0
20145,1
31133,0
